marque_cleaned,nb
Volkswagen,51018
Audi,28455
Mercedes-Benz,25037
BMW,23574
Peugeot,22393
Toyota,21902
Opel,21272
Citroen,19541
Renault,19103
Ford,17399
Honda,13773
Fiat,12201
Skoda,12025
Mazda,12003
Seat,9594
Suzuki,9510
Nissan,9395
Hyundai,8848
Subaru,8823
Dacia,8304
Volvo,8138
Mini,8103
Porsche,5336
Mitsubishi,4821
Alfa Romeo,4591
KIA,4355
Land-Rover,4133
Micro Compact Car,2642
Chevrolet,2461
Jeep,2304
Jaguar,1482
Lexus,1315
Daihatsu,1272
Lancia,983
Saab,859
Ferrari,706
Chrysler,633
Tesla,593
Maserati,465
MG,416
Ssangyong,380
Quattro,367
Dodge,347
Aston Martin,321
Bentley,288
Daewoo,267
Triumph,245
Infiniti,243
Rover,237
Lotus,192
Willys,187
Cadillac,159
Austin,121
LAND,117
Rolls-Royce,102
Lamborghini,92
Daimler,73
Morgan,71
Pontiac,57
Kaiser,47
DS,44
Hummer,43
Caterham,38
Puch,37
Bugatti,35
Buick,34
Alpine,33
Morris,31
Pininfarina,31
Mc Laren,24
Alpina,22
Lada,17
Amilcar,16
Simca,16
Hotchkiss,13
Sunbeam,13
Autobianchi,12
GMC,12
Innocenti,11
Lincoln,10
Plymouth,10
Iveco,9
Oldsmobile,9
Auto Union,8
Datsun,8
DKW,8
Think,8
TVR,7
Westfield,7
AC,6
Alvis,6
Apal,6
MGA,6
Mustang,6
PGO,6
Range Rover,6
Talbot,6
Wiesmann,6
AMC,5
Donkervoort,5
KAISER-JEEP,5
Swiss-Buggy,5
ACURA,4
BMW/Alpina,4
Fisker,4
HS,4
Matra,4
Mega,4
Panther,4
Riley,4
Talbot-Matra,4
Wolseley,4
Armstrong,3
Bertone,3
Buggy,3
Delage,3
DeLorean,3
Excalibur,3
GM,3
Lagonda,3
Mercedes-Adria,3
Mercury,3
Panhard,3
Reliant,3
Studebaker,3
Vauxhall,3
VOLK,3
Abarth,2
AC-Cobra,2
Aronde,2
Avions Voisin,2
Borgward,2
BRISTOL,2
Fiat-Dangel,2
Glas,2
Humber,2
International,2
Isuzu,2
Jensen-Healey,2
Maybach,2
MICRO,2
Nash,2
NSU,2
Packard,2
PEUGEOT-ALKO,2
PUMA,2
Range,2
Renault-Sport,2
SALMSON,2
Wiesmann-Roadster,2
Acl,1
Acura Integra,1
Adler,1
Alfra,1
Amphicar,1
Austin-Healey,1
Autodynamics,1
BEACH-BUGGY,1
Berliet,1
BERO,1
Bitter,1
Bizzarrini,1
BMW/X6,1
Bonnet,1
Brabus,1
Brabus/Micro Compact Car,1
Brasier,1
BSA,1
Buffalo-Sarap,1
CHECKER,1
Chenard + Walcker,1
CHRYSLER (F),1
Chrysler-Simca,1
Chrysler-Sunbeam,1
Chrysler-Valiant,1
Club Car,1
CONTEMPORARY/SHELBY,1
Cyclecar,1
DAF,1
Darracq,1
DE,1
De Dion-Bouton,1
De Tomaso,1
Decauville,1
DFM,1
Donnet,1
DR,1
Durant,1
Eagle,1
Elva,1
Facel-Vega,1
FFW,1
FIAT-ABARTH,1
Fiat-Fissore,1
Fiat-FSM,1
Fiat-Micro-Vett,1
FORD (D),1
FORD/MUSTANG,1
Fordson,1
Freelander,1
GAZ,1
Georges Richard,1
Gladiator,1
GP/BEACH,1
GTD Evelopments,1
Hillman,1
Hispano Suiza,1
Honda/HR-V,1
Horch,1
Intermeccanica,1
Jensen,1
Landwind,1
Lti,1
Martini,1
Maruti,1
MC,1
MGB,1
Mia,1
Monteverdi,1
Mvs,1
NEW,1
Nissan-Gruau,1
Nova,1
Pagani,1
Pierce-Arrow,1
Rally,1
RANGER,1
RCA,1
RCM,1
Ritter-Buggy,1
Roos,1
Rosengart,1
Sbarro,1
Secma,1
Shamrock,1
Singer,1
Spyker,1
Steyr-Puch,1
STEYR-PUCH-HAFLINGER,1
Tata,1
Ãœbrige (Siehe Typ),1
Vale,1
Volga (Wolga),1
VW-Buggy,1
WIESMANN-GT,1
Wiking Sport,1
WILLYS-OVERLAND,1
